2022-12-20 23:36:56,924; HORA; LOG
2022-12-20 23:36:56,926; [i] Server Online
2022-12-20 23:37:15,177; [+] Novo andar conectado: ('127.0.0.1', 40306) [Sala 01]
2022-12-20 23:37:17,707; [+] Mensagem recebida:('127.0.0.1', 40306) [Sala 01]
2022-12-20 23:37:19,735; [+] Mensagem recebida:('127.0.0.1', 40306) [Sala 01]
2022-12-20 23:37:20,879; [+] Mensagem recebida:('127.0.0.1', 40306) [Sala 01]
2022-12-20 23:37:21,806; [+] Mensagem recebida:('127.0.0.1', 40306) [Sala 01]
2022-12-20 23:37:23,836; [+] Mensagem recebida:('127.0.0.1', 40306) [Sala 01]
2022-12-20 23:37:25,863; [+] Mensagem recebida:('127.0.0.1', 40306) [Sala 01]
2022-12-20 23:37:27,891; [+] Mensagem recebida:('127.0.0.1', 40306) [Sala 01]
2022-12-20 23:37:29,921; [+] Mensagem recebida:('127.0.0.1', 40306) [Sala 01]
2022-12-20 23:37:31,948; [+] Mensagem recebida:('127.0.0.1', 40306) [Sala 01]
2022-12-20 23:37:32,040; [+] Mensagem recebida:('127.0.0.1', 40306) [Sala 01]
2022-12-20 23:37:33,967; [+] Mensagem recebida:('127.0.0.1', 40306) [Sala 01]
2022-12-20 23:37:35,996; [+] Mensagem recebida:('127.0.0.1', 40306) [Sala 01]
2022-12-20 23:37:38,024; [+] Mensagem recebida:('127.0.0.1', 40306) [Sala 01]
2022-12-20 23:37:40,051; [+] Mensagem recebida:('127.0.0.1', 40306) [Sala 01]
2022-12-20 23:37:42,080; [+] Mensagem recebida:('127.0.0.1', 40306) [Sala 01]
2022-12-20 23:37:44,110; [+] Mensagem recebida:('127.0.0.1', 40306) [Sala 01]
